full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,cluster_characteristics,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0008.wav,夏绿地原来那家电玩儿城要搬到哪里呀,下驴的原来那家电玩城要搬到哪里啊,0.2941,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0146.wav,一升的眼泪剧情介绍,医生的眼泪剧情介绍,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0157.wav,星际有没有平局,心际有没有凭局,0.2857,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0166.wav,经常死机是什么原因,进场试季是什么原因,0.4444,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0175.wav,南斯拉夫分裂成哪几个部分,但是老虎分裂成哪几个部分,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0178.wav,请问用什么胶粘合鞋底最好,请问有什么叫张和谐的最好,0.5,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0195.wav,有悲伤的失恋情歌吗,有悲伤的十年情况吗,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0197.wav,日圆和人民币的汇率,日元化人民币的汇率,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0208.wav,怎样能摆脱驼背儿,怎样能摆脱他本儿,0.25,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0213.wav,有什么晶露或凝露适合混合性皮肤用的吗,有什么精度和零乳适合混合性皮肤用的吗,0.2778,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0214.wav,煅龙牡各是什么啊有什么作用,断龙镀阁是什么有什么作用,0.3077,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0219.wav,厚厚的舌苔怎么解决,厚厚的色态怎么解决,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0229.wav,古有钻燧取火那什么是燧石什么是燧木,古有钻水去后那什么是碎石什么是碎墓,0.3529,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0236.wav,崇敬的英文用哪个好,重庆的英文用哪个好,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0237.wav,亚米契斯的个人资料,亚密骑斯的个人资料,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0244.wav,会声会影中共享导出影片几种格式的区别,绘声绘影中共想到处影片几种格式的区别,0.2778,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0258.wav,杜松子酒的杜松子是什么,独送之酒的独送子是什么,0.4545,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0267.wav,真有金枝欲孽这个词吗,真要金枝玉裂这个词吗,0.3,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0273.wav,芝华士是一种什么酒它的广告曲是,芝华市是一种什么叫大的广告趋势,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0277.wav,玩兽族怎么玩最强,玩儿守足怎么玩最强,0.375,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0278.wav,火影忍者出到多少集,火影忍者出道多少级,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0279.wav,什么是瓜钻烫钻锆石的错字怎么念,什么是瓜砖烫砖耗事的错字怎么念,0.2667,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0281.wav,湖南台金枝欲孽什么时候播,湖南财经治愈列什么时候播,0.4167,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0288.wav,哪里有网球王子之阿熏的灾难在线观看,哪里有网球王侄子阿勋的灾男在线观看,0.2353,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0290.wav,染发后不小心弄到投头手上了怎么样洗下去,染发后不小心弄到头手上拿纸么洗下去,0.2105,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0301.wav,怎么样搞出口蜜柚出口能赚钱吗,怎样搞出口密有出口能赚钱吗,0.2143,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0303.wav,拉二胡中揉弦的方法,那二胡宗轴旋的方法,0.4444,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0306.wav,请问塘沽打狗办的电话号码,请问塘沽大哥办理电话号码,0.25,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0310.wav,太原哪里有比较灵的道观和寺庙,太原那里有比较邻的道工和寺庙,0.2143,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0315.wav,纹身有什么看法,文山有什么看法,0.2857,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0319.wav,气质是什么意思,旗帜是什么意思哎,0.4286,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0326.wav,瘦脸胖胖的圆脸怎样才能瘦下来,手链蓬蓬的元脸怎样才能瘦下来,0.3571,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0328.wav,有多少人会太空步啊,有多少人会太恐怖啊,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0338.wav,国税定额征收后还需建复式帐吗,国税定额征收后还需建副市账吗,0.2143,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0340.wav,怎样使混凝土达到强度要求还经济,怎样使混凝土达到强度要小孩清洁,0.2667,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0350.wav,汗毛会越剃越长吗怎样永久除毛,汗毛会越踢越长毛怎样永久出毛,0.2143,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0352.wav,什么是等效放热系数,什么是邓小芳的习俗,0.6667,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0366.wav,光盘版游戏对光驱有影响吗,公旁版游戏对工区有影响吗,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0370.wav,哪里有看樱兰的网址,哪里有看英南的网址,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0373.wav,怎样刷梦幻钱币,怎样耍梦幻钱笔,0.2857,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0377.wav,为什么称克雷斯波为世界版的李毅,为什么称克内斯保卫世界班的李仪,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0393.wav,劲舞外挂按舞步延时怎样设置,琴屋外挂按五拨延是怎样设置,0.3846,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0399.wav,小职员开车合适吗,小志员儿开车合适吗,0.25,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0414.wav,明道什么时候来大陆,领导什么时候来大陆,0.2222,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0415.wav,小龟为什么没戴尾戒了,校官为什么没带危戒了,0.4,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0432.wav,北京哪里有浪漫点儿的西餐厅,北京哪里有那门热的星三天,0.5385,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0434.wav,有没有什么歌曲是唱三峡的,有没有什么歌去是长三下的,0.25,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0443.wav,什么是绦纶衣服怎样区分,什么是涤纶与否怎样区分,0.2727,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0446.wav,请问那里有水迷宫,请问哪里有水密宫,0.25,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0451.wav,母猴有月经吗,幕后有月经吗,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0458.wav,一气化三清是什么意思,一汽化申请是什么意思,0.3,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0467.wav,深圳的翠园儿专卖店在哪里,神州内翠儿专卖店在哪里,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0473.wav,什么是永磁体,什么是用磁铁,0.3333,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0485.wav,成事在天的论据,城市在天理论局,0.5714,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1100\G1100_0489.wav,李伟锋转会了吗多少钱,李伟峰装回了吗多少钱,0.3,4,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
