full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0155.wav,五十铃皮卡怎么样,五四铃皮卡怎么样,0.125,1,2.3855,2.934395304967512,55.835083
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0167.wav,是脱鞋进机房好还是穿鞋套进机房好,是拖鞋竞机房好还是穿鞋套竞技防好,0.3125,1,2.476125,2.8269978292695237,53.617043
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0169.wav,为什么叫水族馆这个族是什么意思,为什么叫水族管这个竹是什么意思,0.1333,1,3.295875,3.337505214851898,50.433266
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0174.wav,环节动物和节肢动物是什么,缓解动物和节肢动物是什么,0.1667,1,3.4183125,4.095588100853857,51.92877
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0175.wav,容国团站在领奖台上心里默默地在想什么,荣国团站在领奖台上心里莫默的在想什么,0.1667,1,2.5936875,3.4699631316417263,55.12523
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0179.wav,在绍兴市区哪里有买印石,在绍兴市区哪里有买硬食,0.1818,1,2.5,2.8,53.898907
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0180.wav,我国唐代的画圣是谁,我国唐代的华圣是谁,0.1111,1,4.6131875,3.4683177304195847,50.482414
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0181.wav,老饿怎么办呀,老后么办,0.5,1,3.91,3.836317135549872,52.30669
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0185.wav,北京柒牌专卖在哪儿,北京棋牌专卖在哪了,0.2222,1,3.82,2.356020942408377,54.59848
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0195.wav,我和鲁迅比童年,我和鲁迅比同年,0.1429,1,3.58,2.793296089385475,42.59246
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0201.wav,小鱼烂尾巴怎么办,小鱼烂尾巴办,0.25,1,4.43,3.160270880361174,71.604065
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0204.wav,文言文奇鹰翻译,文言文其应翻译,0.2857,1,4.21,2.8503562945368173,59.298508
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0209.wav,为什么叫吉烈猪扒,为什么叫纪念猪扒,0.25,1,4.84,3.512396694214876,53.39476
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0213.wav,众数的英文怎么说,棕树的英文怎么说,0.25,1,2.9,2.0689655172413794,72.31936
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0233.wav,数学解绝对值不等式,数学解决对值不等式,0.1111,1,5.56,3.2374100719424463,45.075077
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0235.wav,工作了可以忘记她但是一有时间却心里烦,工作了可以忘记他但是一有时间缺心里烦,0.1111,1,4.87,3.080082135523614,56.24544
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0242.wav,如何成为一名律师,如何成为一名女士,0.25,1,3.58,2.5139664804469275,65.15202
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0250.wav,不同的光波是否相同,不同的光播是否相同,0.1111,1,4.93,3.6511156186612577,50.459953
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0252.wav,热血江湖的刀客加点如何加为什么是反刀,热血江湖的刀客加点如何夹为什么是反盗,0.1111,1,2.65,2.6415094339622645,68.90959
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0256.wav,新鬼武者梦之觉醒有密集和调和表,新归舞者梦之觉醒有秘籍和调和表,0.2667,1,4.36,3.6697247706422016,58.318523
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0258.wav,女的抽烟的多吗,女的抽烟的多嘛,0.1429,1,3.31,2.1148036253776437,63.844242
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0262.wav,上补习班有必要吗,上补戏班有必要吗,0.125,1,2.89,2.7681660899653977,65.102585
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0267.wav,买哪个手机比较好,买个手机比较好,0.125,1,3.52,2.840909090909091,65.11344
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0268.wav,昏睡病的资料,昏睡病的治料,0.1667,1,3.76,2.925531914893617,65.44147
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0279.wav,怎么甩一个女生,怎么甩一个女神,0.1429,1,4.6,3.2608695652173916,64.34488
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0281.wav,肱三头肌怎么练啊,弓三头肌怎么练啊,0.125,1,4.45,2.9213483146067416,52.20066
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0282.wav,四大爱情经典指什么,十大爱情经典指什么,0.1111,1,3.61,3.32409972299169,54.474712
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0290.wav,宠物鼠误食瓜子皮怎么办,宠物鼠饿视瓜子皮怎么办,0.1818,1,5.0,3.0,42.079998
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0300.wav,女子十二乐坊的旧专辑哪有的卖啊,女子十二月放的旧专辑哪有的卖啊,0.1333,1,4.63,3.4557235421166306,62.45895
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0301.wav,英二国一或者国二是在哪集出现的,因二国一或者国二是在垃圾出现的,0.2,1,3.46,2.023121387283237,63.75525
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0304.wav,二次函数根的分布,二次函数根你分布,0.125,1,4.03,2.729528535980149,67.81662
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0313.wav,处女都会流血吗几率是多少,村里都会流血吗几率是多少,0.1667,1,3.19,2.5078369905956115,53.819405
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0318.wav,梁咏琪哪首歌好听,梁咏琪首歌好听,0.125,1,4.8,3.125,48.957626
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0321.wav,教我些养花的方法吧,教我写养花的方法吧,0.1111,1,3.97,3.27455919395466,52.389694
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0322.wav,排队上厕所猜一地名,排队上厕所猜以地名,0.1111,1,4.84,3.3057851239669422,62.73616
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0324.wav,南京哪里有狗市我想买约克夏,南京哪里有狗屎我想买约克下,0.1538,1,3.02,2.3178807947019866,63.797855
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0325.wav,人生之中何解,人生之中何劫,0.1667,1,4.07,1.7199017199017197,48.47973
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0326.wav,石家庄奥菲尔模特公司怎样,石家庄菲模特公司怎样,0.1667,1,3.27,2.7522935779816513,52.159237
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0329.wav,大连买房给落户口吗,大连买房给罗户口嘛,0.2222,1,3.58,2.5139664804469275,69.448746
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0347.wav,下那个版本的免费迅雷最好,下哪个版本的免费训列最好,0.25,1,4.93,2.636916835699797,65.29649
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0350.wav,包皮上长了几个蚊子块一样的东西,包皮上长了几个文字块一样的东西,0.1333,1,5.78,2.422145328719723,48.059944
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0358.wav,怎样织围巾的穗啊,怎样子围巾的税啊,0.25,1,3.1,2.5806451612903225,58.31437
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0366.wav,何为凸形坡何谓凹形坡,何为凸心坡何为凹心坡,0.3,1,2.77,2.888086642599278,55.924957
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0368.wav,是玉米先为难凉粉还是凉粉先为难玉米,是玉米纤维栏凉份儿还是凉份儿纤维难玉米,0.5294,1,3.22,2.795031055900621,58.089195
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0369.wav,什么是酱缸定力,什么是降岗定理,0.4286,1,3.4,2.6470588235294117,56.40078
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0373.wav,汉地适宜种什么农作物,旱地是一种什么农作物,0.3,1,4.75,3.1578947368421053,54.354053
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0377.wav,磨沙皮怎么清洗,磨砂皮怎么清洗,0.1429,1,3.28,2.7439024390243905,53.720203
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0386.wav,呛司呛司伴奏哪里下载,强势强势伴奏哪里下载,0.4,1,4.04,3.4653465346534653,53.20578
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0387.wav,如何使肌肤变白深层的变白,如果使肌肤变白深沉地变白,0.25,1,3.28,3.048780487804878,53.768097
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0389.wav,杭州哪里有买测孕纸,杭州哪里有卖车云子,0.4444,1,5.26,3.231939163498099,30.747112
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0411.wav,真的有神啊鬼的吗,曾经有神日而鬼的吗,0.5,1,3.01,2.6578073089700998,52.952766
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0417.wav,哪里有卖染衣服的颜料啊,哪里有埋上衣服的颜料啊,0.1818,1,3.91,3.3248081841432224,51.82132
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0421.wav,苏格兰赫斯队在哪座城市,苏格兰贺斯队在座城市,0.1818,1,3.31,3.0211480362537766,51.586437
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0422.wav,男生你能接受的女朋友最胖的限度是什么,男人你能接受的女朋友最胖的线途是什么,0.1667,1,3.94,3.299492385786802,55.072037
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0423.wav,可以劈叉后不练以后还能吗,可以批擦后不练以后还能吗,0.1667,1,2.86,3.146853146853147,52.96339
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0425.wav,新奥尔良在哪,新二良在辣,0.5,1,5.05,3.5643564356435644,49.740074
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0426.wav,告诉我中了特洛伊木马会怎么样,告诉我从老退若妈妈会样,0.6429,1,4.51,3.5476718403547673,53.897057
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0433.wav,天生自然卷的头发怎么样才能直,天生治然卷的头发怎么样才能治,0.1429,1,4.78,3.3472803347280333,54.708614
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0434.wav,古人是怎样藏冰的,古人是怎样长兵的,0.25,1,3.25,3.3846153846153846,53.391273
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0437.wav,有哪个网站专门提供纯音乐下载吗,有个网站专门提供纯音乐下载嘛,0.1333,1,3.04,3.289473684210526,54.357178
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0439.wav,梦幻密宝能改安全码吗,梦幻密包能感安全吗吗,0.3,1,2.5,2.4,55.571632
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0446.wav,老虎遇狮子打起来的话哪个会胜利,老虎与狮子打起来的话哪个会胜你,0.1333,1,3.37,2.9673590504451037,57.028374
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0449.wav,刨芋头手痒怎么办,包芋头收痒怎么办,0.25,1,3.82,2.8795811518324608,54.907223
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0452.wav,胚包括子叶吗,配报考志愿吗,0.8333,1,2.77,2.527075812274368,55.708984
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0462.wav,有什么适合中低音的女声歌曲,有什么时候重低影的女生歌去,0.4615,1,3.88,2.577319587628866,54.43171
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0463.wav,祖冲之编定的历法叫什么名,朱冲子编境的立法叫什么名,0.3333,1,5.14,3.3073929961089497,47.585453
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0467.wav,男水瓶和女狮子能走到最后吗,男水平和女师子能走到最后吗,0.1538,1,5.68,3.1690140845070425,23.02371
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0468.wav,天黑请闭眼游戏怎么玩的啊,天黑去闭眼游戏能玩啊,0.3333,1,3.64,3.2967032967032965,55.79904
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0469.wav,名盛苑小区好不好,民盛苑小区好不好,0.125,1,5.44,3.1249999999999996,38.34942
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0471.wav,哪种维生素治脚气,哪种维生素值崛起,0.375,1,4.39,3.6446469248291575,58.66892
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0474.wav,七情六欲中的七情和六欲分别指什么,七秦流宇中的七秦和流域分别指什么,0.375,1,3.67,2.7247956403269757,55.74054
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0479.wav,一个甲子多少年,一个价值多少年,0.2857,1,3.61,2.770083102493075,52.841805
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0480.wav,猫眼石的英文是什么,冒烟水的英文是什么,0.3333,1,5.29,3.213610586011342,33.06999
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0494.wav,请问哪里有＜如果还有明天＞这首歌,请问哪里有如果还有明天这首歌,0.125,1,5.38,3.345724907063197,25.557043
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0506.wav,女生能不能适量吸烟对身体的损坏度,女神能不能适量吸烟对身体的损害度,0.125,1,4.6,3.4782608695652177,50.436157
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0507.wav,为什么我那么平静呢,为什么我平静呢,0.2222,1,3.07,2.2801302931596092,53.284264
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0509.wav,自己喜欢的女生学习太好怎么办,自己喜欢的女生血型太好怎么办,0.1429,1,3.13,2.8753993610223643,53.78908
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0513.wav,何处有废甲醇或低度甲醇卖,何处有非家虫或帝都家村卖,0.5833,1,5.08,3.543307086614173,52.49929
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0515.wav,茉莉来茶片是什么地方生产的,莫莉奶茶片是什么地方生产的,0.1538,1,4.48,3.1249999999999996,52.815384
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0517.wav,何山无石何水无鱼打一个字,生务水和水务员打一个字,0.5833,1,2.62,2.6717557251908395,55.17131
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0523.wav,爱一个人要怎样对她她才会感到幸福,爱一个人要怎样对他他才会感到幸福,0.125,1,3.22,2.795031055900621,52.167336
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0525.wav,沼气如何才能贮存,沼气如何才能储存,0.125,1,4.45,3.8202247191011236,54.14377
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0535.wav,冷饮会过期吗,能一会过期吗,0.3333,1,4.84,3.3057851239669422,53.54725
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0540.wav,花亦非是谁跟百度什么关系,花一飞是谁跟百度什么关系,0.1667,1,2.92,2.397260273972603,52.632774
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0541.wav,今年世界杯于哪一天结束,今年世界白雨哪一天结束,0.1818,1,5.35,3.1775700934579443,38.335346
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0544.wav,哪里需要特氟隆垫圈,哪里需要特氟龙垫圈,0.1111,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0547.wav,痔疮是什么样的是不是很痒有肉疚疚吗,痔疮是什么样的是不是很痒有肉揪舅吗,0.1176,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0550.wav,珉珉现在就读哪所学校,敏敏现在就读哪所学校,0.2,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0555.wav,牙齿怎么变整齐有不爱塞牙缝,牙齿怎么变蒸齐又不爱晒牙缝,0.2308,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0562.wav,玫琳凯谁用过呀效果怎么样,美凯琳谁用过呀效果怎么样,0.25,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0570.wav,尸体的尸臭多长时间产生,尸体的丝绸多长时间产生,0.1818,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0571.wav,究竟怎么做,究竟,0.6,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0574.wav,一个数的平方这个平方在键盘上怎么输,一个数的平方这个平房在键盘上怎么说,0.1176,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0580.wav,傻贵用五笔怎么怎么打出来,傻鬼用武笔怎么怎么打出来,0.1667,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0583.wav,什么是保甲制度,什么是保价制度,0.1429,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0585.wav,总线控制器是什么呢,中线控制器是什么呢,0.1111,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0586.wav,劲舞团怎么下载安装,情舞团怎下载安装,0.2222,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0594.wav,什么是生辰纲,史么是陈春江,0.6667,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0598.wav,如何制作网站邮箱,如何置作网站邮箱,0.125,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0599.wav,胜利石油管理局怎么样呢,城泥石油管理局能样啊,0.4545,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0601.wav,地哩是什么意思买个说法的买怎么解,地理是什么意思每个说法的买怎么解,0.125,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0603.wav,听说天津要出足彩单场了怎么玩啊,听说天津要出足才单场了怎么玩儿啊,0.1333,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0606.wav,怎样洗菜和水果,怎样洗泰和水果,0.1429,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0612.wav,冒险岛哪些任务不值得做,冒险到任务布值得,0.4545,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0615.wav,勾股定理是谁创建的,歌定二是谁于创建,0.5556,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0617.wav,泷泽秀明在日本红吗,侬在小命在日本哄吗,0.5556,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0618.wav,怎么卸载虚拟光驱,怎样卸载虚拟光驱,0.125,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0619.wav,南京名城古迹是什么,南京名城古籍是什么,0.1111,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0621.wav,皮肤总起皮怎么办,皮肤肿期偏能办,0.625,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0627.wav,哪有黄水谣女声独唱,哪有黄水要女生独场,0.3333,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0628.wav,劲舞团怎么调出来情侣舞步啊谢谢,劲舞团怎么跳出来情侣舞不啊谢谢,0.1333,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0630.wav,变压器离居民楼有多远有何规定,变压器离民居房有多远有何规定,0.2143,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0633.wav,什么是水的比热容,沉末是随一点半钟,0.875,1,,,
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0641.wav,城南旧事小说的内容是什么,南城旧史小说的内容是什么,0.25,1,,,
